Date,Open,High,Low,Close,Adj Close,Volume
2011-02-21,1264.949951,1274.650024,1225.000000,1246.500000,1137.869263,797
2011-02-22,1251.400024,1259.000000,1229.000000,1232.650024,1125.226196,299
2011-02-23,1225.000000,1248.800049,1210.050049,1225.849976,1119.018555,1605
2011-02-24,1225.000000,1231.000000,1210.000000,1216.449951,1110.437744,5589
2011-02-25,1225.000000,1228.000000,1200.000000,1218.000000,1111.852905,6255
2011-02-28,1215.900024,1250.000000,1215.900024,1234.650024,1127.051880,1121
2011-03-01,1225.000000,1249.949951,1215.349976,1228.449951,1121.391968,939
2011-03-03,1210.000000,1285.000000,1207.000000,1272.150024,1161.283813,2110
2011-03-04,1284.000000,1284.000000,1265.099976,1270.900024,1160.142700,717
2011-03-07,1270.000000,1270.000000,1235.050049,1240.150024,1132.072632,1540
2011-03-08,1239.000000,1270.000000,1230.000000,1261.849976,1151.881470,388
2011-03-09,1268.000000,1284.900024,1260.000000,1265.050049,1154.802612,676
2011-03-10,1270.000000,1270.000000,1215.000000,1241.250000,1133.076904,5982
2011-03-11,1221.099976,1245.000000,1210.000000,1212.400024,1106.740845,1548
2011-03-14,1210.000000,1240.000000,1200.000000,1213.599976,1107.836426,4443
2011-03-15,1210.000000,1230.000000,1205.000000,1224.000000,1117.329712,740
2011-03-16,1212.000000,1257.949951,1211.000000,1215.699951,1109.753296,585
2011-03-17,1204.000000,1227.849976,1204.000000,1216.599976,1110.574829,426
2011-03-18,1223.000000,1244.500000,1220.000000,1230.349976,1123.126709,1755
2011-03-21,1225.000000,1244.000000,1225.000000,1229.599976,1122.441895,1235
2011-03-22,1243.000000,1273.650024,1225.000000,1229.099976,1121.985474,99
2011-03-23,1235.000000,1240.000000,1230.000000,1230.250000,1123.035278,474
2011-03-24,1230.000000,1234.500000,1226.199951,1230.250000,1123.035278,480
2011-03-25,1230.000000,1270.000000,1230.000000,1261.300049,1151.379517,1247
2011-03-28,1268.000000,1294.000000,1268.000000,1281.400024,1169.727661,822
2011-03-29,1268.000000,1299.000000,1260.000000,1279.699951,1168.175537,2452
2011-03-30,1285.000000,1339.000000,1275.199951,1328.000000,1212.266479,2980
2011-03-31,1321.000000,1360.000000,1310.000000,1343.050049,1226.005127,1618
2011-04-01,1379.000000,1379.000000,1335.050049,1353.199951,1235.270386,587
2011-04-04,1347.000000,1370.099976,1341.000000,1356.199951,1238.008789,1116
2011-04-05,1360.000000,1360.000000,1340.000000,1347.199951,1229.793457,813
2011-04-06,1348.000000,1356.949951,1333.000000,1338.699951,1222.033813,542
2011-04-07,1331.000000,1421.000000,1330.000000,1402.050049,1279.863037,4047
2011-04-08,1429.000000,1439.000000,1395.000000,1403.650024,1281.323853,3019
2011-04-11,1426.949951,1477.000000,1406.050049,1441.199951,1315.601318,3739
2011-04-13,1449.949951,1477.000000,1415.000000,1470.300049,1342.165283,3305
2011-04-15,1431.000000,1495.099976,1431.000000,1491.949951,1361.928467,1708
2011-04-18,1504.949951,1507.000000,1441.000000,1449.650024,1323.314697,2809
2011-04-19,1421.050049,1457.900024,1401.150024,1420.750000,1312.322998,889
2011-04-20,1422.199951,1440.000000,1420.449951,1422.699951,1314.124268,1178
2011-04-21,1478.849976,1478.849976,1420.000000,1428.900024,1319.850952,1971
2011-04-25,1476.699951,1683.099976,1421.199951,1635.300049,1510.499390,70344
2011-04-26,1640.000000,1674.300049,1550.000000,1576.099976,1455.817261,8799
2011-04-27,1554.400024,1629.000000,1554.400024,1592.750000,1471.196655,5299
2011-04-28,1590.000000,1590.000000,1529.199951,1577.900024,1457.479980,8203
2011-04-29,1599.699951,1599.699951,1547.500000,1572.449951,1452.445679,3276
2011-05-02,1599.699951,1599.699951,1555.050049,1575.699951,1455.447876,2263
2011-05-03,1591.000000,1591.000000,1570.000000,1579.599976,1459.049927,2454
2011-05-04,1599.900024,1599.900024,1550.000000,1581.099976,1460.435669,1702
2011-05-05,1599.000000,1599.000000,1575.000000,1585.900024,1464.869385,1814
2011-05-06,1599.050049,1599.050049,1568.050049,1587.300049,1466.162598,1031
2011-05-09,1590.000000,1595.500000,1575.000000,1575.849976,1455.586182,1298
2011-05-10,1599.500000,1599.500000,1572.599976,1592.300049,1470.781006,338
2011-05-11,1600.000000,1600.000000,1560.000000,1569.750000,1449.951904,2059
2011-05-12,1598.000000,1598.000000,1523.000000,1533.800049,1416.745361,783
2011-05-13,1555.000000,1595.099976,1510.000000,1562.800049,1443.532593,21519
2011-05-16,1594.800049,1594.800049,1528.300049,1541.449951,1423.811646,1082
2011-05-17,1592.949951,1592.949951,1437.000000,1456.400024,1345.252441,256946
2011-05-18,1475.000000,1475.000000,1382.500000,1419.449951,1311.122192,8302
